filename,width,height,class,xmin,ymin,xmax,ymax
save1324.jpg,480,640,jb,299,347,315,390
save1324.jpg,480,640,ty,276,254,400,377
save1324.jpg,480,640,hz,102,85,163,145
save1324.jpg,480,640,xd,237,138,309,199
save1324.jpg,480,640,bz,309,95,380,162
save1324.jpg,480,640,gg,104,255,177,342
save1324.jpg,480,640,hr,149,296,255,349
save1324.jpg,480,640,kl,141,121,209,190
save1324.jpg,480,640,sc,111,398,238,518
save1324.jpg,480,640,wd,199,412,330,555
save1011.jpg,480,640,bb,44,54,231,248
save1011.jpg,480,640,lj,263,92,392,220
save1011.jpg,480,640,ty,51,262,203,417
save1011.jpg,480,640,wd,223,245,371,392
save1011.jpg,480,640,kx,53,402,245,586
save1011.jpg,480,640,xd,242,424,398,573
save1163.jpg,480,640,bb,107,200,158,240
save1163.jpg,480,640,hr,115,205,167,285
save1163.jpg,480,640,hz,194,287,220,313
save1163.jpg,480,640,kx,196,299,253,345
save1163.jpg,480,640,lj,156,326,193,359
save1163.jpg,480,640,ty,172,339,206,376
save60.jpg,640,480,hr,83,81,207,279
save60.jpg,640,480,gg,94,175,203,322
save60.jpg,640,480,sb,258,81,413,236
save60.jpg,640,480,sc,261,161,384,289
save60.jpg,640,480,bz,461,114,581,226
save60.jpg,640,480,lq,479,168,602,284
save60.jpg,640,480,jb,533,203,548,243
save56.jpg,640,480,hr,93,70,246,252
save56.jpg,640,480,gg,97,173,211,315
save56.jpg,640,480,sb,262,76,416,240
save56.jpg,640,480,sc,341,196,465,326
save56.jpg,640,480,jb,345,278,386,286
save56.jpg,640,480,lq,485,152,611,276
save56.jpg,640,480,bz,468,61,593,172
save1042.jpg,480,640,mj,150,140,210,265
save1042.jpg,480,640,jb,138,189,167,198
save1042.jpg,480,640,sb,142,278,248,363
save1042.jpg,480,640,mm,190,220,292,328
save1042.jpg,480,640,sc,274,321,360,407
save1042.jpg,480,640,ys,250,323,367,387
save1042.jpg,480,640,jb,312,385,324,411
save1042.jpg,480,640,hr,145,408,279,444
save1042.jpg,480,640,bz,168,395,241,472
save1339.jpg,480,640,lj,104,311,177,386
save1339.jpg,480,640,bz,212,371,279,441
save1339.jpg,480,640,kl,181,208,253,253
save1339.jpg,480,640,hz,262,155,364,256
save1339.jpg,480,640,hz,250,297,311,357
save1339.jpg,480,640,mm,213,174,280,367
save1338.jpg,480,640,bz,216,397,264,447
save1338.jpg,480,640,lj,138,354,192,408
save1338.jpg,480,640,hz,244,347,287,390
save1338.jpg,480,640,hz,251,247,321,316
save1338.jpg,480,640,kl,194,283,244,314
save1338.jpg,480,640,mm,217,261,264,395
save319.jpg,640,480,sc,117,124,239,258
save319.jpg,640,480,wd,167,218,229,275
save319.jpg,640,480,hr,286,143,351,270
save319.jpg,640,480,jb,308,178,336,206
save319.jpg,640,480,hz,285,248,350,313
save319.jpg,640,480,gg,372,256,455,349
save2216.jpg,480,640,sb,94,114,164,183
save2216.jpg,480,640,lj,191,150,282,223
save2216.jpg,480,640,jb,225,174,239,202
save2216.jpg,480,640,jb,99,108,118,144
save2216.jpg,480,640,hr,304,207,335,293
save2216.jpg,480,640,hr,106,281,161,322
save2216.jpg,480,640,ys,152,224,206,289
save2216.jpg,480,640,mj,189,257,274,360
save2216.jpg,480,640,mm,208,329,306,371
save2216.jpg,480,640,hz,275,375,334,434
save2216.jpg,480,640,mm,103,426,278,504
save2216.jpg,480,640,jb,216,296,236,327
save1174.jpg,480,640,gg,161,187,207,218
save1174.jpg,480,640,xd,123,308,166,338
save1174.jpg,480,640,kl,281,170,325,194
save1174.jpg,480,640,mj,302,383,334,445
save1174.jpg,480,640,ys,146,416,250,435
save1174.jpg,480,640,jb,178,410,199,434
save1174.jpg,480,640,wd,106,482,166,535
save1174.jpg,480,640,jb,126,473,143,505
save2016.jpg,640,480,ty,169,93,232,151
save2016.jpg,640,480,bb,175,180,258,317
save2016.jpg,640,480,hz,225,259,284,316
save2016.jpg,640,480,lj,335,120,399,187
save2016.jpg,640,480,gg,386,94,450,163
save2016.jpg,640,480,jb,396,101,424,130
save2016.jpg,640,480,ys,391,153,458,206
save2016.jpg,640,480,sc,434,204,537,311
save2016.jpg,640,480,sb,497,103,568,180
save2016.jpg,640,480,jb,541,107,570,135
save2016.jpg,640,480,hr,298,232,383,263
save2016.jpg,640,480,mm,313,211,353,308
save2016.jpg,640,480,bb,369,295,418,347
save46.jpg,640,480,mm,387,85,525,210
save46.jpg,640,480,bz,371,258,478,360
save46.jpg,640,480,ys,343,287,499,305
save46.jpg,640,480,hr,166,98,336,229
save46.jpg,640,480,sb,245,99,358,237
save46.jpg,640,480,jb,162,218,189,268
save46.jpg,640,480,sc,181,268,303,388
save46.jpg,640,480,jb,177,319,220,342
save46.jpg,640,480,mj,92,230,260,357
save1195.jpg,480,640,mm,126,270,202,308
save1195.jpg,480,640,sc,264,262,304,302
save1195.jpg,480,640,lq,264,365,305,407
save1195.jpg,480,640,jb,264,367,287,388
save1195.jpg,480,640,bz,133,387,159,414
save1195.jpg,480,640,sb,199,429,235,469
save1195.jpg,480,640,jb,151,288,176,301
save223.jpg,640,480,wd,429,213,482,276
save223.jpg,640,480,hr,391,212,490,322
save223.jpg,640,480,lj,336,126,409,203
save223.jpg,640,480,hz,276,84,377,188
save223.jpg,640,480,sb,136,138,276,300
save223.jpg,640,480,sc,215,232,272,282
save109.jpg,640,480,ys,191,126,202,212
save109.jpg,640,480,hr,288,134,315,217
save109.jpg,640,480,bz,409,134,456,178
save109.jpg,640,480,mj,196,229,240,312
save109.jpg,640,480,sb,396,231,450,299
save219.jpg,640,480,sc,412,195,490,274
save219.jpg,640,480,lj,432,229,494,291
save219.jpg,640,480,kl,293,285,336,327
save219.jpg,640,480,sb,300,293,375,382
save219.jpg,640,480,bb,111,207,240,310
save219.jpg,640,480,lq,154,252,277,378
save228.jpg,640,480,hr,323,149,405,266
save228.jpg,640,480,sc,297,231,349,281
save228.jpg,640,480,hz,290,157,390,256
save228.jpg,640,480,wd,208,126,262,189
save228.jpg,640,480,lj,147,229,202,300
save228.jpg,640,480,sb,130,130,268,289
save1192.jpg,480,640,mm,101,154,139,262
save1192.jpg,480,640,sc,245,182,297,233
save1192.jpg,480,640,lq,277,309,329,362
save1192.jpg,480,640,bz,102,377,139,414
save1192.jpg,480,640,sb,194,435,246,480
save211.jpg,640,480,sb,307,85,364,135
save211.jpg,640,480,lq,301,120,358,176
save211.jpg,640,480,sc,481,126,530,178
save211.jpg,640,480,jb,497,101,518,141
